workflow_id,sector,region,lat,lon,data_quality_score,governance_maturity,automation_complexity,stage_age_days,gdpr_sensitive,field_failure_signals,case_notes,needs_human_escalation
WF-001,public_health,Emilia-Romagna,44.4949,11.3426,91,4,2,18,1,0,"approved dataset documented DPIA stable process",0
WF-002,credit_risk,Sicily,38.1157,13.3615,58,2,4,74,1,2,"missing consent complaint manual override debt dispute",1
WF-003,utilities,Lombardy,45.4642,9.1900,84,4,3,31,1,0,"validated customer records monitoring owner assigned",0
WF-004,manufacturing,Piedmont,45.0703,7.6869,62,2,5,88,0,3,"sensor drift anomaly incomplete maintenance labels",1
WF-005,public_procurement,Lazio,41.9028,12.4964,77,3,3,43,1,1,"policy exception requires legal review",1
WF-006,banking,Emilia-Romagna,44.6471,10.9252,89,5,2,16,1,0,"clear lineage approved retention schedule",0
WF-007,insurance,Campania,40.8518,14.2681,54,2,4,69,1,1,"customer complaint missing appeal evidence",1
WF-008,energy,Veneto,45.4408,12.3155,81,4,3,28,0,0,"asset registry complete operator signoff",0
WF-009,transport,Tuscany,43.7696,11.2558,66,3,5,93,0,2,"manual override route disruption stale labels",1
WF-010,public_health,Apulia,41.1171,16.8719,73,3,3,52,1,1,"sensitive records sampled limited consent review",1
WF-011,credit_risk,Lombardy,45.0703,9.6869,86,4,2,27,1,0,"model use case restricted explainability checklist",0
WF-012,manufacturing,Emilia-Romagna,44.8015,10.3279,92,5,2,14,0,0,"pilot line data validated maintenance owner",0
WF-013,insurance,Liguria,44.4056,8.9463,61,2,4,81,1,2,"appeal backlog complaint unclear data source",1
WF-014,energy,Sardinia,39.2238,9.1217,70,3,4,59,0,1,"remote asset telemetry gap operator review",1
WF-015,banking,Veneto,45.4384,10.9916,88,4,2,22,1,0,"audit trail complete reviewer assigned",0
WF-016,public_procurement,Marche,43.6158,13.5189,75,3,3,35,1,0,"procurement rule mapped privacy owner",0
WF-017,transport,Trentino-Alto Adige,46.4983,11.3548,67,2,4,64,0,2,"weather disruption anomaly missing incident labels",1
WF-018,utilities,Friuli-Venezia Giulia,45.6495,13.7768,82,4,2,26,0,0,"meter validation stable process documented",0
WF-019,public_health,Calabria,38.9108,16.5877,57,2,5,91,1,3,"sensitive triage complaint missing review board",1
WF-020,manufacturing,Lombardy,45.5416,10.2118,79,3,3,39,0,1,"machine stop event reviewed quality owner",0
WF-021,credit_risk,Piedmont,45.0792,7.6761,63,2,4,78,1,2,"debt dispute manual override missing appeal",1
WF-022,energy,Emilia-Romagna,44.2227,12.0407,90,5,2,19,0,0,"grid inspection data complete monitoring owner",0
WF-023,insurance,Tuscany,43.3188,11.3308,76,3,3,46,1,0,"claims routing reviewed explainability checklist",0
WF-024,transport,Sicily,37.5079,15.0830,60,2,5,85,0,3,"port disruption anomaly incomplete operator feedback",1
