feature,baseline_f1,permuted_f1,importance,method
late_payment_signal,0.8667,0.3448,0.5219,single-pass permutation on held-out test split
financial_signal_score,0.8667,0.4848,0.3819,single-pass permutation on held-out test split
company_size_bucket,0.8667,0.7742,0.0925,single-pass permutation on held-out test split
data_quality_score,0.8667,0.7857,0.081,single-pass permutation on held-out test split
text_risk_score,0.8667,0.7857,0.081,single-pass permutation on held-out test split
esg_climate_exposure,0.8667,0.7879,0.0788,single-pass permutation on held-out test split
region_macro_risk,0.8667,0.8125,0.0542,single-pass permutation on held-out test split
sector,0.8667,0.8148,0.0519,single-pass permutation on held-out test split
company_age_years,0.8667,0.8276,0.0391,single-pass permutation on held-out test split
geo_distance_risk,0.8667,0.8276,0.0391,single-pass permutation on held-out test split
sector_risk_score,0.8667,0.8387,0.028,single-pass permutation on held-out test split
region,0.8667,0.8387,0.028,single-pass permutation on held-out test split
